date,c_rise,c_set
11/29/2009,620,1648
11/30/2009,621,1648
12/1/2009,622,1648
12/2/2009,623,1648
12/3/2009,624,1648
12/4/2009,625,1647
12/5/2009,626,1647
12/6/2009,627,1647
12/7/2009,628,1647
12/8/2009,628,1647
12/9/2009,629,1647
12/10/2009,630,1647
12/11/2009,631,1648
12/12/2009,632,1648
12/13/2009,632,1648
12/14/2009,633,1648
12/15/2009,634,1649
12/16/2009,634,1649
12/17/2009,635,1649
12/18/2009,636,1650
12/19/2009,636,1650
12/20/2009,637,1650
12/21/2009,637,1651
12/22/2009,638,1651
12/23/2009,638,1652
12/24/2009,639,1653
12/25/2009,639,1653
12/26/2009,640,1654
12/27/2009,640,1655
12/28/2009,640,1655
12/29/2009,640,1656
12/30/2009,641,1657
12/31/2009,641,1657
8/1/2010,410,1934
8/2/2010,411,1933
8/3/2010,412,1932
8/4/2010,413,1930
8/5/2010,414,1929
8/6/2010,415,1928
8/7/2010,416,1926
8/8/2010,417,1925
8/9/2010,418,1924
8/10/2010,419,1922
8/11/2010,421,1921
8/12/2010,422,1919
8/13/2010,423,1918
8/14/2010,424,1916
8/15/2010,425,1915
8/16/2010,426,1913
8/17/2010,427,1912
8/18/2010,428,1910
8/19/2010,429,1909
8/20/2010,431,1907
8/21/2010,432,1906
8/22/2010,433,1904
8/23/2010,434,1902
8/24/2010,435,1901
8/25/2010,436,1859
8/26/2010,437,1857
8/27/2010,438,1856
8/28/2010,439,1854
8/29/2010,440,1852
8/30/2010,441,1851
8/31/2010,443,1849
9/1/2010,444,1847
9/2/2010,445,1846
9/3/2010,446,1844
9/4/2010,447,1842
9/5/2010,448,1840
9/6/2010,449,1839
9/7/2010,450,1837
9/8/2010,451,1835
9/9/2010,452,1833
9/10/2010,453,1832
9/11/2010,454,1830
9/12/2010,455,1828
9/13/2010,456,1826
9/14/2010,457,1825
9/15/2010,459,1823
9/16/2010,500,1821
9/17/2010,501,1819
9/18/2010,502,1818
9/19/2010,503,1816
9/20/2010,504,1814
9/21/2010,505,1813
9/22/2010,506,1811
9/23/2010,507,1809
9/24/2010,508,1807
9/25/2010,509,1806
9/26/2010,510,1804
9/27/2010,511,1802
9/28/2010,512,1800
9/29/2010,513,1759
9/30/2010,514,1757
10/1/2010,515,1755
10/2/2010,516,1754
10/3/2010,517,1752
10/4/2010,518,1750
10/5/2010,519,1749
10/6/2010,520,1747
10/7/2010,521,1746
10/8/2010,522,1744
10/9/2010,523,1742
10/10/2010,525,1741
10/11/2010,526,1739
10/12/2010,527,1738
10/13/2010,528,1736
10/14/2010,529,1734
10/15/2010,530,1733
10/16/2010,531,1731
10/17/2010,532,1730
10/18/2010,533,1728
10/19/2010,534,1727
10/20/2010,535,1726
10/21/2010,536,1724
10/22/2010,537,1723
10/23/2010,539,1721
10/24/2010,540,1720
10/25/2010,541,1719
10/26/2010,542,1717
10/27/2010,543,1716
10/28/2010,544,1715
10/29/2010,545,1714
10/30/2010,546,1712
10/31/2010,548,1711
11/1/2010,549,1710
11/2/2010,550,1709
11/3/2010,551,1708
11/4/2010,552,1707
11/5/2010,553,1705
11/6/2010,554,1704
11/7/2010,555,1703
11/8/2010,557,1702
11/9/2010,558,1701
11/10/2010,559,1700
11/11/2010,600,1700
11/12/2010,601,1659
11/13/2010,602,1658
11/14/2010,603,1657
11/15/2010,605,1656
11/16/2010,606,1655
11/17/2010,607,1654
11/18/2010,608,1654
11/19/2010,609,1653
11/20/2010,610,1653
11/21/2010,611,1652
11/22/2010,612,1651
11/23/2010,613,1651
11/24/2010,615,1650
11/25/2010,616,1650
11/26/2010,617,1649
11/27/2010,618,1649
11/28/2010,619,1649
11/29/2010,620,1648
11/30/2010,621,1648
12/1/2010,622,1648
12/2/2010,623,1648
12/3/2010,624,1648
12/4/2010,625,1647
12/5/2010,626,1647
12/6/2010,626,1647
12/7/2010,627,1647
12/8/2010,628,1647
12/9/2010,629,1647
12/10/2010,630,1647
12/11/2010,631,1648
12/12/2010,631,1648
12/13/2010,632,1648
12/14/2010,633,1648
12/15/2010,634,1648
12/16/2010,634,1649
12/17/2010,635,1649
12/18/2010,636,1649
12/19/2010,636,1650
12/20/2010,637,1650
12/21/2010,637,1651
12/22/2010,638,1651
12/23/2010,638,1652
12/24/2010,639,1652
12/25/2010,639,1653
12/26/2010,639,1654
12/27/2010,640,1654
12/28/2010,640,1655
12/29/2010,640,1656
12/30/2010,641,1657
12/31/2010,641,1657
8/1/2011,409,1934
8/2/2011,410,1933
8/3/2011,411,1932
8/4/2011,413,1931
8/5/2011,414,1929
8/6/2011,415,1928
8/7/2011,416,1927
8/8/2011,417,1925
8/9/2011,418,1924
8/10/2011,419,1923
8/11/2011,420,1921
8/12/2011,421,1920
8/13/2011,423,1918
8/14/2011,424,1917
8/15/2011,425,1915
8/16/2011,426,1914
8/17/2011,427,1912
8/18/2011,428,1911
8/19/2011,429,1909
8/20/2011,430,1907
8/21/2011,431,1906
8/22/2011,432,1904
8/23/2011,434,1903
8/24/2011,435,1901
8/25/2011,436,1859
8/26/2011,437,1858
8/27/2011,438,1856
8/28/2011,439,1854
8/29/2011,440,1853
8/30/2011,441,1851
8/31/2011,442,1849
9/1/2011,444,1848
9/2/2011,445,1846
9/3/2011,446,1844
9/4/2011,447,1843
9/5/2011,448,1841
9/6/2011,449,1839
9/7/2011,450,1837
9/8/2011,451,1836
9/9/2011,452,1834
9/10/2011,453,1832
9/11/2011,454,1830
9/12/2011,455,1829
9/13/2011,456,1827
9/14/2011,457,1825
9/15/2011,458,1823
9/16/2011,459,1822
9/17/2011,500,1820
9/18/2011,501,1818
9/19/2011,502,1816
9/20/2011,503,1815
9/21/2011,504,1813
9/22/2011,505,1811
9/23/2011,507,1809
9/24/2011,508,1808
9/25/2011,509,1806
9/26/2011,510,1804
9/27/2011,511,1803
9/28/2011,512,1801
9/29/2011,513,1759
9/30/2011,514,1758
10/1/2011,515,1756
10/2/2011,516,1754
10/3/2011,517,1752
10/4/2011,518,1751
10/5/2011,519,1749
10/6/2011,520,1748
10/7/2011,521,1746
10/8/2011,522,1744
10/9/2011,523,1743
10/10/2011,524,1741
10/11/2011,525,1740
10/12/2011,526,1738
10/13/2011,527,1736
10/14/2011,528,1735
10/15/2011,530,1733
10/16/2011,531,1732
10/17/2011,532,1730
10/18/2011,533,1729
10/19/2011,534,1727
10/20/2011,535,1726
10/21/2011,536,1724
10/22/2011,537,1723
10/23/2011,538,1722
10/24/2011,539,1720
10/25/2011,541,1719
10/26/2011,542,1718
10/27/2011,543,1716
10/28/2011,544,1715
10/29/2011,545,1714
10/30/2011,546,1713
10/31/2011,547,1711
11/1/2011,548,1710
11/2/2011,550,1709
11/3/2011,551,1708
11/4/2011,552,1707
11/5/2011,553,1706
11/6/2011,554,1705
11/7/2011,555,1704
11/8/2011,556,1703
11/9/2011,557,1702
11/10/2011,559,1701
11/11/2011,600,1700
11/12/2011,601,1659
11/13/2011,602,1658
11/14/2011,603,1657
11/15/2011,604,1656
11/16/2011,605,1655
11/17/2011,607,1655
11/18/2011,608,1654
11/19/2011,609,1653
11/20/2011,610,1653
11/21/2011,611,1652
11/22/2011,612,1651
11/23/2011,613,1651
11/24/2011,614,1650
11/25/2011,615,1650
11/26/2011,616,1650
11/27/2011,617,1649
11/28/2011,618,1649
11/29/2011,619,1649
11/30/2011,621,1648
12/1/2011,621,1648
12/2/2011,622,1648
12/3/2011,623,1648
12/4/2011,624,1647
12/5/2011,625,1647
12/6/2011,626,1647
12/7/2011,627,1647
12/8/2011,628,1647
12/9/2011,629,1647
12/10/2011,630,1647
12/11/2011,630,1648
12/12/2011,631,1648
12/13/2011,632,1648
12/14/2011,633,1648
12/15/2011,633,1648
12/16/2011,634,1649
12/17/2011,635,1649
12/18/2011,635,1649
12/19/2011,636,1650
12/20/2011,637,1650
12/21/2011,637,1651
12/22/2011,638,1651
12/23/2011,638,1652
12/24/2011,639,1652
12/25/2011,639,1653
12/26/2011,639,1654
12/27/2011,640,1654
12/28/2011,640,1655
12/29/2011,640,1656
12/30/2011,640,1656
12/31/2011,641,1657
8/1/2012,410,1934
8/2/2012,411,1932
8/3/2012,412,1931
8/4/2012,413,1930
8/5/2012,414,1928
8/6/2012,416,1927
8/7/2012,417,1926
8/8/2012,418,1924
8/9/2012,419,1923
8/10/2012,420,1921
8/11/2012,421,1920
8/12/2012,422,1919
8/13/2012,423,1917
8/14/2012,424,1916
8/15/2012,426,1914
8/16/2012,427,1913
8/17/2012,428,1911
8/18/2012,429,1909
8/19/2012,430,1908
8/20/2012,431,1906
8/21/2012,432,1905
8/22/2012,433,1903
8/23/2012,434,1901
8/24/2012,436,1900
8/25/2012,437,1858
8/26/2012,438,1857
8/27/2012,439,1855
8/28/2012,440,1853
8/29/2012,441,1852
8/30/2012,442,1850
8/31/2012,443,1848
9/1/2012,444,1846
9/2/2012,445,1845
9/3/2012,446,1843
9/4/2012,447,1841
9/5/2012,448,1840
9/6/2012,449,1838
9/7/2012,451,1836
9/8/2012,452,1834
9/9/2012,453,1833
9/10/2012,454,1831
9/11/2012,455,1829
9/12/2012,456,1827
9/13/2012,457,1826
9/14/2012,458,1824
9/15/2012,459,1822
9/16/2012,500,1820
9/17/2012,501,1819
9/18/2012,502,1817
9/19/2012,503,1815
9/20/2012,504,1813
9/21/2012,505,1812
9/22/2012,506,1810
9/23/2012,507,1808
9/24/2012,508,1806
9/25/2012,509,1805
9/26/2012,510,1803
9/27/2012,511,1801
9/28/2012,512,1800
9/29/2012,513,1758
9/30/2012,514,1756
10/1/2012,515,1754
10/2/2012,517,1753
10/3/2012,518,1751
10/4/2012,519,1749
10/5/2012,520,1748
10/6/2012,521,1746
10/7/2012,522,1745
10/8/2012,523,1743
10/9/2012,524,1741
10/10/2012,525,1740
10/11/2012,526,1738
10/12/2012,527,1737
10/13/2012,528,1735
10/14/2012,529,1734
10/15/2012,530,1732
10/16/2012,531,1731
10/17/2012,533,1729
10/18/2012,534,1728
10/19/2012,535,1726
10/20/2012,536,1725
10/21/2012,537,1723
10/22/2012,538,1722
10/23/2012,539,1721
10/24/2012,540,1719
10/25/2012,541,1718
10/26/2012,543,1717
10/27/2012,544,1715
10/28/2012,545,1714
10/29/2012,546,1713
10/30/2012,547,1711
10/31/2012,548,1710
11/1/2012,549,1709
11/2/2012,550,1708
11/3/2012,552,1707
11/4/2012,553,1706
11/5/2012,554,1705
11/6/2012,555,1704
11/7/2012,556,1703
11/8/2012,557,1702
11/9/2012,558,1701
11/10/2012,600,1700
11/11/2012,601,1659
11/12/2012,602,1658
11/13/2012,603,1657
11/14/2012,604,1656
11/15/2012,605,1656
11/16/2012,606,1655
11/17/2012,607,1654
11/18/2012,609,1653
11/19/2012,610,1653
11/20/2012,611,1652
11/21/2012,612,1652
11/22/2012,613,1651
11/23/2012,614,1651
11/24/2012,615,1650
11/25/2012,616,1650
11/26/2012,617,1649
11/27/2012,618,1649
11/28/2012,619,1649
11/29/2012,620,1648
11/30/2012,621,1648
12/1/2012,622,1648
12/2/2012,623,1648
12/3/2012,624,1647
12/4/2012,625,1647
12/5/2012,626,1647
12/6/2012,627,1647
12/7/2012,628,1647
12/8/2012,629,1647
12/9/2012,629,1647
12/10/2012,630,1648
12/11/2012,631,1648
12/12/2012,632,1648
12/13/2012,633,1648
12/14/2012,633,1648
12/15/2012,634,1649
12/16/2012,635,1649
12/17/2012,635,1649
12/18/2012,636,1650
12/19/2012,636,1650
12/20/2012,637,1651
12/21/2012,638,1651
12/22/2012,638,1652
12/23/2012,638,1652
12/24/2012,639,1653
12/25/2012,639,1653
12/26/2012,640,1654
12/27/2012,640,1655
12/28/2012,640,1655
12/29/2012,640,1656
12/30/2012,641,1657
12/31/2012,641,1658
